ingestion_batch_id,analytics_build_run_id,month_start,installation_count,signup_count,paywall_view_count,trial_start_count,paid_subscription_start_count
1,1,2024-01-01,2367,1415,520,56,6
1,1,2024-02-01,1960,1236,809,111,46
1,1,2024-03-01,2214,1397,1003,132,43
1,1,2024-04-01,2335,1447,1147,166,57
1,1,2024-05-01,2409,1494,1288,186,65
1,1,2024-06-01,2344,1486,1368,207,77
1,1,2024-07-01,2401,1505,1476,224,89
1,1,2024-08-01,2574,1570,1512,244,95
1,1,2024-09-01,2943,1801,1723,230,94
1,1,2024-10-01,3019,1889,1905,246,91
1,1,2024-11-01,2902,1785,1929,250,81
1,1,2024-12-01,2630,1651,2032,288,86
1,1,2025-01-01,3742,2277,2142,289,113
1,1,2025-02-01,2930,1863,2054,265,93
1,1,2025-03-01,3252,2027,2309,326,120
1,1,2025-04-01,3364,2073,2366,312,113
1,1,2025-05-01,3505,2184,2419,312,117
1,1,2025-06-01,3305,2094,2332,329,124
1,1,2025-07-01,3447,2124,2589,359,124
1,1,2025-08-01,3593,2225,2605,353,138
1,1,2025-09-01,4170,2569,2702,349,139
1,1,2025-10-01,4136,2620,2815,376,126
1,1,2025-11-01,3855,2397,2903,426,151
1,1,2025-12-01,3656,2275,2823,375,162
1,1,2026-01-01,5160,3153,3234,414,141
1,1,2026-02-01,3749,2385,2771,385,147
1,1,2026-03-01,4507,2803,3067,396,166
1,1,2026-04-01,4527,2789,2828,390,145
1,1,2026-05-01,4539,2827,2794,406,159
1,1,2026-06-01,4465,2815,1921,261,108
