ingestion_batch_id,analytics_build_run_id,month_start,average_registered_dau,peak_registered_dau,session_count,feature_use_event_count,paywall_view_count,trial_start_count,paid_subscription_start_count
1,1,2024-01-01,136.5483870967741935,226,8256,19005,520,56,6
1,1,2024-02-01,252.3103448275862069,295,11364,28570,809,111,46
1,1,2024-03-01,326.8387096774193548,368,14710,37469,1003,132,43
1,1,2024-04-01,373.8333333333333333,412,16142,41657,1147,166,57
1,1,2024-05-01,415.6774193548387097,452,17833,47365,1288,186,65
1,1,2024-06-01,456.5333333333333333,503,18781,50377,1368,207,77
1,1,2024-07-01,488.4838709677419355,525,20328,55448,1476,224,89
1,1,2024-08-01,495.0000000000000000,542,20789,57148,1512,244,95
1,1,2024-09-01,558.7000000000000000,591,23097,63200,1723,230,94
1,1,2024-10-01,604.0967741935483871,659,25258,69482,1905,246,91
1,1,2024-11-01,635.0333333333333333,666,25460,70460,1929,250,81
1,1,2024-12-01,635.7096774193548387,684,25571,72127,2032,288,86
1,1,2025-01-01,690.3225806451612903,735,29088,80364,2142,289,113
1,1,2025-02-01,726.7500000000000000,769,26811,74702,2054,265,93
1,1,2025-03-01,739.3870967741935484,789,30045,83940,2309,326,120
1,1,2025-04-01,761.0666666666666667,812,30013,84354,2366,312,113
1,1,2025-05-01,772.1290322580645161,817,31531,87852,2419,312,117
1,1,2025-06-01,798.5333333333333333,867,31219,87853,2332,329,124
1,1,2025-07-01,809.5806451612903226,850,32676,92509,2589,359,124
1,1,2025-08-01,831.0645161290322581,869,33754,95779,2605,353,138
1,1,2025-09-01,882.9333333333333333,938,35283,98988,2702,349,139
1,1,2025-10-01,918.2580645161290323,990,37474,105347,2815,376,126
1,1,2025-11-01,934.0333333333333333,977,36528,103017,2903,426,151
1,1,2025-12-01,905.4838709677419355,997,36374,102934,2823,375,162
1,1,2026-01-01,960.2903225806451613,1051,40739,113226,3234,414,141
1,1,2026-02-01,991.9285714285714286,1032,36125,102052,2771,385,147
1,1,2026-03-01,970.3225806451612903,1034,39814,110500,3067,396,166
1,1,2026-04-01,944.9333333333333333,1002,37922,104996,2828,390,145
1,1,2026-05-01,893.4193548387096774,980,37303,101908,2794,406,159
1,1,2026-06-01,631.4666666666666667,859,27045,70890,1921,261,108
